irs_id	full_name	phone	email		important
I97361-939	Ernest Dorsey	555-518-5489	ernestdorsey@ayeol.com		
I51616-137	Angelica Mason	555-663-7563	angelic_the_mason@electronmail.net		
I73080-131	Selena Murphy	555-503-5516	selenamurphy43@xomxast.net		
I75786-840	Quinn Arnold	555-185-2841	heyqarnold@notmail.com		
I46370-338	Slade Phillips	555-638-8823	sladepstroker@notmail.com		
I25369-623	Abagail Allison	555-738-3270	doublea78@electronmail.net		
I34808-818	Zander Deleon	555-799-2185	zannydeleon@eeemail.com		
I59732-877	Marques Benton	555-730-4313	marques_benton@nsn.com		
I41464-728	Bronson Boyer	555-230-4961	bronsonb@nsn.com		
I28951-521	Elian Buchanan	555-945-4431	ellybuchanann@ayeol.com		
I93999-218	Bailey Yang	555-563-6662	itsssbaeley@baver.net		*
I19161-716	Adriel Humphrey	555-343-2748	adriel_humphrey@ayeol.com		*
I73322-931	Dax Cameron	555-290-6354	dax.cameron@copmail.com		
I45118-591	Marcie Thorn	555-326-2585	marcie.thorn@copmail.com		
I15756-134	Bill Brewer	555-450-1808	bill.brewer@copmail.com		
I55313-339	Wallace Smith	555-925-4415	wallace.smith@copmail.com		
I60044-314	James Price	555-924-2605	james.price@copmail.com		
I21385-924	Sandra Lopez	555-237-1343	sandra.lopez@copmail.com		
I86035-392	Maxine Perry	555-950-3570	maxine.perry@copmail.com		
I85636-481	Darren Michaels	555-529-2172	darren.michaels@copmail.com		
I27424-721	Sean Petty	555-995-9795	sean.petty@copmail.com		
I60862-434	Ashton Decker	555-619-2222	ashton.decker@copmail.com		
I12850-515	Jadyn Woods	555-945-4213	jadyn.woods@copmail.com		
I87784-830	Paityn Greene	555-730-5586	paityn.greene@copmail.com		
I85863-307	Kenneth Stafford	555-621-3129	kenneth.stafford@copmail.com		*
I52046-510	Cooper Dalton	555-220-8185	cooper.dalton@copmail.com		
I19712-526	Kristopher Andersen	555-643-1407	kristopher.andersen@copmail.com		
I82851-376	Pablo Yu	555-376-8052	pablo.yu@copmail.com		
I82583-756	Irvin Mclaughlin	555-628-8000	irvin.mclaughlin@copmail.com		
I44641-923	Jaden Meadows	555-779-5532	jaden.meadows@copmail.com		
I73094-157	Elsie Patrick	555-421-2358	elsie.patrick@copmail.com		*
I23066-809	Darren Horton	NULL	NULL		*
I59436-170	Janessa Stanley	555-230-6346	jan.stan.brand@wahoo.com		
I17633-155	Darion Goodwin	555-629-3267	goodfella_darion@wahoo.com		
I56549-133	Marisa Mcdowell	555-816-1679	mmarisa@notmail.com		
I38004-581	Cristopher Lindsey	555-410-6879	criscrossd@notmail.com		
I76836-619	Skyler Stafford	555-326-5660	staffsky@notmail.com		
I47285-253	River Green	555-290-9483	riverflowsinme@eeemail.com		
I54667-938	Juliette Wise	555-147-3759	wise.j.2012@eeemail.com		
I76187-232	Harmony Reyes	555-915-7591	sing.with.me@ayeol.com		
I42773-736	Bryanna Page	555-620-1264	page.bry.nine@ayeol.com		
I82744-253	Trey Jacobson	555-472-8514	tjacobson2@wahoo.com		
I63727-752	Rory Castaneda	555-686-7369	mighty_rory@eeemail.com		
I96012-361	Olivia Avery	555-632-4527	olivehearts@eeemail.com		
I14671-847	Lindsay Pineda	555-673-5754	pineda.party.lind@notmail.com		
I89012-526	Konnor Richard	555-484-4386	k.town.rich@ayeol.com		
I92810-344	Cherish Mcdowell	555-584-2396	mcherish@notmail.com		
I52341-648	Davion Abbott	555-775-1612	abbtown.d@eeemail.com		
I18329-158	Angela Mcmahon	555-243-1078	mangela.nicky@ayeol.com		
I12930-148	Itzel Richardson	555-973-1519	itz.a.me.richard@eeemail.com		
I50883-311	Jordan Lopez	555-818-7588	jlo_real@notmail.com		
I30813-491	Lexi Wiggins	555-661-3717	wexiliggins@notmail.com		
I65529-709	Alex Duncan	555-192-4951	funkydunky@ayeol.com		
I70426-955	Finnegan Riddle	555-895-7926	finne_me_this@eeemail.com		
I64127-911	Jayvion Wheeler	555-653-3079	j2017balls@notmail.com		
I71967-126	Julia Terry	555-938-3296	terrterr.julia@eeemail.com		
I78578-906	Janiyah Robertson	555-380-9147	robertson.janiyah@notmail.com		
I12662-866	Jazlene Potts	555-137-1064	jazzy.potts@eeemail.com		
I83014-868	Niko Sheppard	555-908-7631	sheppardddd@notmail.com		
I47381-889	Elliot Mckee	555-572-9288	mckeenonyou@notmail.com		
I83277-164	Arnold Schwarzenegger	555-926-7392	OWIE		*
I36375-168	odxny	555-448-4746	TYVM		*
