email_id	email	password	email_type	date_received	subject_line	content		
X14434	j.macdonald.household@eemail.com	SoTheresAManCrawlingThroughTheDesert	sent	2024-4-1	had great fun zooming	over the badlands and through the sand...		
X93000	j.macdonald.household@eemail.com	SoTheresAManCrawlingThroughTheDesert	sent	2024-4-1	got lost, hit a big rock	and then he couldn't get it started again...		
X68923	j.macdonald.household@eemail.com	SoTheresAManCrawlingThroughTheDesert	sent	2024-4-1	There were no	cell phone towers anywhere near...		
X64725	j.macdonald.household@eemail.com	SoTheresAManCrawlingThroughTheDesert	sent	2024-4-1	so his cell phone	was useless...		
X66352	elsie.patrick@copmail.com	D34nW1nch3s7er10v3r!!123	sent	2024-2-6	RE: DARREN HORTON	Thank you. It's fdhj398fh@notmail.com and....		*
X50540	elsie.patrick@copmail.com	D34nW1nch3s7er10v3r!!123	received	2024-2-5	RE: DARREN HORTON	Of course. I understand the situation and...		*
X34350	elsie.patrick@copmail.com	D34nW1nch3s7er10v3r!!123	sent	2024-2-5	RE: DARREN HORTON	Yes, but can you please ensure it will be kept quiet...		*
X34377	elsie.patrick@copmail.com	D34nW1nch3s7er10v3r!!123	received	2024-2-4	RE: DARREN HORTON	Hello, do you have the contact information for...		*
X39941	elsie.patrick@copmail.com	D34nW1nch3s7er10v3r!!123	received	2024-2-1	Deals, Deals, Deals!	Act FAST, and act NOW! DEALS ARE GOING....		*
X10022	mbanks1976@wahoo.com	$uckM7D1cK!	sent	2024-4-19	Fwd: URGENT	ACCOUNT 47857-A-X4586 OVERDUE...		
X33149	mbanks1976@wahoo.com	$uckM7D1cK!	received	2024-4-19	Where've You Gone?	Your SECRETSMOOCH account is missing...		
X58021	mbanks1976@wahoo.com	$uckM7D1cK!	sent	2024-4-19	Fwd: URGENT	ACCOUNT 58390-A-X9473 OVERDUE...		
X43375	mbanks1976@wahoo.com	$uckM7D1cK!	sent	2024-4-19	Fwd: URGENT	ACCOUNT 18569-A-X3274 OVERDUE...		
X52460	mbanks1976@wahoo.com	$uckM7D1cK!	sent	2024-4-19	Fwd: URGENT	ACCOUNT 20584-A-X8828 OVERDUE...		
X40142	yuki.masa.14@eeemail.com	P@ulinesBoyw1feD2	received	1707-3-4	You're Just One Click Away	...From setting up your SECRETSMOOCH account...		
X64880	yuki.masa.14@eeemail.com	P@ulinesBoyw1feD2	received	1707-3-5	Thought of you! :*)	When are you coming back? I found these flowers...		
X19868	yuki.masa.14@eeemail.com	P@ulinesBoyw1feD2	sent	1707-3-14	Re: Thought of you! :*)	Soon. The flowers are lovely. Why did...		
X21108	yuki.masa.14@eeemail.com	P@ulinesBoyw1feD2	received	1707-4-5	I Know	That you're just a BE...		
X41855	yuki.masa.14@eeemail.com	P@ulinesBoyw1feD2	received	1707-5-24	It's Over	You have no idea what you've...		
X59922	kenobi.b@notmail.com	hugepenisreal	sent	-80214-55-1	RE: Council Order	WHo said		
X42748	kenobi.b@notmail.com	hugepenisreal	received	-80214-55-1	Council Order	It has come to our attention that you've been "kriff'ing nasty" in...		
X86564	kenobi.b@notmail.com	hugepenisreal	sent	-80214-12-12	Hey...	Haha haven't heard from u in a while. Whats been...		
X93387	kenobi.b@notmail.com	hugepenisreal	sent	-80214-11-99	AUTOMATED LOG	Spilled tarine tea all over my robes again. I think it burned...		
X62480	kenobi.b@notmail.com	hugepenisreal	sent	-80214-4-12	AUTOMATED LOG	Got stood up again today. It didn't feel good. Am I really...		
X92000	consistent.calm@eeemail.com	nothingbutrage2002	received	2024-1-12	Mindfulness Seminar	Don't forget your registered seminar on...		
X76139	consistent.calm@eeemail.com	nothingbutrage2002	received	2024-1-14	REMINDER!	Your SECRETSMOOCHer is waiting...		
X33977	consistent.calm@eeemail.com	nothingbutrage2002	sent	2024-1-15	Re: Seminar Survey	One star across the board. Don't waste my FUCKING time...		
X86170	consistent.calm@eeemail.com	nothingbutrage2002	received	2024-1-16	Court Summons	Be ready for your upcoming court date by...		
X12367	consistent.calm@eeemail.com	nothingbutrage2002	sent	2024-1-16	Please	Just post my bail and I promise I'll treat you to...		
